age,gender,occupation,daily_screen_time_hours,opens_per_day,sleep_hours,bedtime_delay_minutes,productivity_loss_hours,focus_rating,anxiety_level,loneliness_level,self_comparison_score,mood_after_use,reels_usage_percent,addiction_level
19,Other,Working Professional,6.5,91,6.9,45,5.0,3.9,8.2,7.6,7.3,Positive,85,High
21,Male,Working Professional,5.2,83,6.0,46,2.2,3.5,7.8,5.4,6.2,Negative,22,Moderate
25,Female,Student,7.6,68,5.6,121,4.8,1.6,10.0,6.9,8.7,Negative,39,High
26,Female,Working Professional,7.7,77,5.0,61,2.7,4.3,10.0,7.3,9.9,Neutral,46,High
25,Female,Working Professional,8.0,104,5.0,104,4.9,4.2,8.5,7.0,10.0,Positive,47,High
16,Male,Student,4.6,36,5.9,59,2.6,5.3,7.3,5.3,6.1,Negative,51,Moderate
21,Male,Student,4.5,45,6.0,36,3.4,5.4,7.7,5.2,3.9,Neutral,92,Moderate
26,Other,Working Professional,4.5,36,6.0,67,3.1,6.3,5.0,6.0,6.1,Neutral,66,Moderate
16,Female,Student,3.2,28,5.7,38,1.6,5.4,4.6,6.2,6.0,Positive,67,Moderate
22,Other,Working Professional,5.2,52,6.3,41,4.5,3.4,7.5,7.6,6.9,Neutral,27,Moderate
18,Other,Working Professional,3.8,49,7.4,57,2.4,5.4,3.7,5.3,5.6,Neutral,75,Moderate
26,Female,Working Professional,8.4,109,4.7,117,5.0,1.0,10.0,8.3,10.0,Neutral,82,High
21,Male,Working Professional,5.3,58,7.0,53,3.2,4.7,6.3,5.7,7.7,Negative,20,Moderate
21,Other,Student,4.0,48,6.0,20,1.6,6.8,6.5,5.8,6.1,Positive,54,Moderate
19,Female,Student,2.7,40,5.6,37,1.7,5.9,2.7,4.6,4.5,Neutral,74,Low
29,Other,Student,2.4,40,5.4,33,2.1,8.7,1.2,2.5,3.7,Neutral,24,Low
25,Male,Working Professional,3.9,39,6.9,50,1.2,5.7,3.1,6.7,4.4,Negative,42,Moderate
28,Male,Working Professional,6.3,56,6.5,63,3.9,2.7,5.6,7.6,7.5,Positive,29,High
27,Other,Student,2.7,45,6.6,43,1.3,6.8,3.7,3.3,2.7,Negative,47,Low
23,Female,Working Professional,6.3,50,7.4,31,3.9,4.8,9.9,7.0,5.9,Positive,32,High
21,Male,Working Professional,3.9,31,6.3,35,1.4,5.2,5.3,4.1,5.7,Negative,88,Moderate
25,Male,Working Professional,4.3,34,6.3,47,2.4,5.7,5.2,7.5,6.3,Negative,51,Moderate
25,Male,Working Professional,5.0,40,7.4,85,4.0,4.9,8.8,7.1,5.4,Positive,48,Moderate
18,Female,Working Professional,3.8,38,7.2,57,1.3,7.4,5.1,5.0,5.0,Positive,27,Moderate
21,Other,Working Professional,2.1,31,6.5,16,1.7,8.3,4.2,4.5,0.5,Neutral,39,Low
28,Male,Working Professional,1.1,11,7.3,7,0.6,8.3,2.8,2.3,0.3,Positive,94,Low
25,Female,Working Professional,5.5,49,5.7,27,2.9,3.7,7.9,4.7,8.3,Negative,77,Moderate
20,Male,Working Professional,0.6,10,7.1,4,0.2,10.5,4.9,1.8,2.6,Negative,28,Low
27,Other,Student,2.5,35,6.2,17,1.4,8.0,5.1,5.6,4.0,Negative,61,Low
28,Other,Student,2.7,40,7.2,32,1.3,6.5,3.7,5.0,3.8,Positive,63,Low
26,Other,Working Professional,2.9,49,7.6,31,2.0,6.4,6.2,3.2,5.0,Positive,57,Low
18,Female,Working Professional,1.9,22,7.5,26,0.9,9.1,4.6,3.4,4.5,Neutral,89,Low
23,Male,Working Professional,5.0,40,5.6,80,2.2,3.3,6.6,6.9,5.8,Negative,24,Moderate
27,Other,Working Professional,4.7,61,5.8,61,3.9,5.0,7.8,6.1,6.0,Positive,94,Moderate
